,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id87,87,20,317286,387858,-71.06849670410156,42.35397722432751,-71.06815338134766,42.353723509421194
id88,88,20,317286,387859,-71.06849670410156,42.353723509421194,-71.06815338134766,42.353469793490646
id89,89,20,317286,387860,-71.06849670410156,42.353469793490646,-71.06815338134766,42.35321607653588
id90,90,20,317286,387861,-71.06849670410156,42.35321607653588,-71.06815338134766,42.35296235855688
id91,91,20,317286,387862,-71.06849670410156,42.35296235855688,-71.06815338134766,42.352708639553654
id92,92,20,317286,387863,-71.06849670410156,42.352708639553654,-71.06815338134766,42.3524549195262
id93,93,20,317286,387864,-71.06849670410156,42.3524549195262,-71.06815338134766,42.352201198474525
id94,94,20,317286,387865,-71.06849670410156,42.352201198474525,-71.06815338134766,42.35194747639863
id95,95,20,317286,387866,-71.06849670410156,42.35194747639863,-71.06815338134766,42.351693753298505
id96,96,20,317287,387843,-71.06815338134766,42.357782825014176,-71.06781005859375,42.3575291254714
id97,97,20,317287,387844,-71.06815338134766,42.3575291254714,-71.06781005859375,42.35727542490438
id98,98,20,317287,387845,-71.06815338134766,42.35727542490438,-71.06781005859375,42.35702172331312
id99,99,20,317287,387846,-71.06815338134766,42.35702172331312,-71.06781005859375,42.356768020697615
id100,100,20,317287,387847,-71.06815338134766,42.356768020697615,-71.06781005859375,42.35651431705787
id101,101,20,317287,387848,-71.06815338134766,42.35651431705787,-71.06781005859375,42.356260612393896
id102,102,20,317287,387849,-71.06815338134766,42.356260612393896,-71.06781005859375,42.35600690670569
id103,103,20,317287,387850,-71.06815338134766,42.35600690670569,-71.06781005859375,42.35575319999323
id104,104,20,317287,387851,-71.06815338134766,42.35575319999323,-71.06781005859375,42.35549949225654
id105,105,20,317287,387852,-71.06815338134766,42.35549949225654,-71.06781005859375,42.35524578349561
id106,106,20,317287,387853,-71.06815338134766,42.35524578349561,-71.06781005859375,42.35499207371046
id107,107,20,317287,387854,-71.06815338134766,42.35499207371046,-71.06781005859375,42.35473836290107
id108,108,20,317287,387855,-71.06815338134766,42.35473836290107,-71.06781005859375,42.35448465106745
id109,109,20,317287,387856,-71.06815338134766,42.35448465106745,-71.06781005859375,42.3542309382096
id110,110,20,317287,387857,-71.06815338134766,42.3542309382096,-71.06781005859375,42.35397722432751
id111,111,20,317287,387858,-71.06815338134766,42.35397722432751,-71.06781005859375,42.353723509421194
id112,112,20,317287,387859,-71.06815338134766,42.353723509421194,-71.06781005859375,42.353469793490646
id113,113,20,317287,387860,-71.06815338134766,42.353469793490646,-71.06781005859375,42.35321607653588
id114,114,20,317287,387861,-71.06815338134766,42.35321607653588,-71.06781005859375,42.35296235855688
id115,115,20,317287,387862,-71.06815338134766,42.35296235855688,-71.06781005859375,42.352708639553654
id116,116,20,317287,387863,-71.06815338134766,42.352708639553654,-71.06781005859375,42.3524549195262
id117,117,20,317287,387864,-71.06815338134766,42.3524549195262,-71.06781005859375,42.352201198474525
id118,118,20,317287,387865,-71.06815338134766,42.352201198474525,-71.06781005859375,42.35194747639863
id119,119,20,317287,387866,-71.06815338134766,42.35194747639863,-71.06781005859375,42.351693753298505
id120,120,20,317288,387843,-71.06781005859375,42.357782825014176,-71.06746673583984,42.3575291254714
id121,121,20,317288,387844,-71.06781005859375,42.3575291254714,-71.06746673583984,42.35727542490438
id122,122,20,317288,387845,-71.06781005859375,42.35727542490438,-71.06746673583984,42.35702172331312
id123,123,20,317288,387846,-71.06781005859375,42.35702172331312,-71.06746673583984,42.356768020697615
id124,124,20,317288,387847,-71.06781005859375,42.356768020697615,-71.06746673583984,42.35651431705787
id125,125,20,317288,387848,-71.06781005859375,42.35651431705787,-71.06746673583984,42.356260612393896
id126,126,20,317288,387849,-71.06781005859375,42.356260612393896,-71.06746673583984,42.35600690670569
id127,127,20,317288,387850,-71.06781005859375,42.35600690670569,-71.06746673583984,42.35575319999323
id128,128,20,317288,387851,-71.06781005859375,42.35575319999323,-71.06746673583984,42.35549949225654
id129,129,20,317288,387852,-71.06781005859375,42.35549949225654,-71.06746673583984,42.35524578349561
id130,130,20,317288,387853,-71.06781005859375,42.35524578349561,-71.06746673583984,42.35499207371046
id131,131,20,317288,387854,-71.06781005859375,42.35499207371046,-71.06746673583984,42.35473836290107
id132,132,20,317288,387855,-71.06781005859375,42.35473836290107,-71.06746673583984,42.35448465106745
id133,133,20,317288,387856,-71.06781005859375,42.35448465106745,-71.06746673583984,42.3542309382096
id134,134,20,317288,387857,-71.06781005859375,42.3542309382096,-71.06746673583984,42.35397722432751
id135,135,20,317288,387858,-71.06781005859375,42.35397722432751,-71.06746673583984,42.353723509421194
id136,136,20,317288,387859,-71.06781005859375,42.353723509421194,-71.06746673583984,42.353469793490646
id137,137,20,317288,387860,-71.06781005859375,42.353469793490646,-71.06746673583984,42.35321607653588
id138,138,20,317288,387861,-71.06781005859375,42.35321607653588,-71.06746673583984,42.35296235855688
id139,139,20,317288,387862,-71.06781005859375,42.35296235855688,-71.06746673583984,42.352708639553654
id140,140,20,317288,387863,-71.06781005859375,42.352708639553654,-71.06746673583984,42.3524549195262
id141,141,20,317288,387864,-71.06781005859375,42.3524549195262,-71.06746673583984,42.352201198474525
id142,142,20,317288,387865,-71.06781005859375,42.352201198474525,-71.06746673583984,42.35194747639863
id143,143,20,317288,387866,-71.06781005859375,42.35194747639863,-71.06746673583984,42.351693753298505
id144,144,20,317289,387843,-71.06746673583984,42.357782825014176,-71.06712341308594,42.3575291254714
id145,145,20,317289,387844,-71.06746673583984,42.3575291254714,-71.06712341308594,42.35727542490438
id146,146,20,317289,387845,-71.06746673583984,42.35727542490438,-71.06712341308594,42.35702172331312
id147,147,20,317289,387846,-71.06746673583984,42.35702172331312,-71.06712341308594,42.356768020697615
id148,148,20,317289,387847,-71.06746673583984,42.356768020697615,-71.06712341308594,42.35651431705787
id149,149,20,317289,387848,-71.06746673583984,42.35651431705787,-71.06712341308594,42.356260612393896
id150,150,20,317289,387849,-71.06746673583984,42.356260612393896,-71.06712341308594,42.35600690670569
id151,151,20,317289,387850,-71.06746673583984,42.35600690670569,-71.06712341308594,42.35575319999323
id152,152,20,317289,387851,-71.06746673583984,42.35575319999323,-71.06712341308594,42.35549949225654
id153,153,20,317289,387852,-71.06746673583984,42.35549949225654,-71.06712341308594,42.35524578349561
id154,154,20,317289,387853,-71.06746673583984,42.35524578349561,-71.06712341308594,42.35499207371046
id155,155,20,317289,387854,-71.06746673583984,42.35499207371046,-71.06712341308594,42.35473836290107
id156,156,20,317289,387855,-71.06746673583984,42.35473836290107,-71.06712341308594,42.35448465106745
id157,157,20,317289,387856,-71.06746673583984,42.35448465106745,-71.06712341308594,42.3542309382096
id158,158,20,317289,387857,-71.06746673583984,42.3542309382096,-71.06712341308594,42.35397722432751
id159,159,20,317289,387858,-71.06746673583984,42.35397722432751,-71.06712341308594,42.353723509421194
id160,160,20,317289,387859,-71.06746673583984,42.353723509421194,-71.06712341308594,42.353469793490646
id161,161,20,317289,387860,-71.06746673583984,42.353469793490646,-71.06712341308594,42.35321607653588
id162,162,20,317289,387861,-71.06746673583984,42.35321607653588,-71.06712341308594,42.35296235855688
id163,163,20,317289,387862,-71.06746673583984,42.35296235855688,-71.06712341308594,42.352708639553654
id164,164,20,317289,387863,-71.06746673583984,42.352708639553654,-71.06712341308594,42.3524549195262
id165,165,20,317289,387864,-71.06746673583984,42.3524549195262,-71.06712341308594,42.352201198474525
id166,166,20,317289,387865,-71.06746673583984,42.352201198474525,-71.06712341308594,42.35194747639863
id167,167,20,317289,387866,-71.06746673583984,42.35194747639863,-71.06712341308594,42.351693753298505
id168,168,20,317290,387843,-71.06712341308594,42.357782825014176,-71.06678009033203,42.3575291254714
id169,169,20,317290,387844,-71.06712341308594,42.3575291254714,-71.06678009033203,42.35727542490438
id170,170,20,317290,387845,-71.06712341308594,42.35727542490438,-71.06678009033203,42.35702172331312
id171,171,20,317290,387846,-71.06712341308594,42.35702172331312,-71.06678009033203,42.356768020697615
id172,172,20,317290,387847,-71.06712341308594,42.356768020697615,-71.06678009033203,42.35651431705787
id173,173,20,317290,387848,-71.06712341308594,42.35651431705787,-71.06678009033203,42.356260612393896
id174,174,20,317290,387849,-71.06712341308594,42.356260612393896,-71.06678009033203,42.35600690670569
id175,175,20,317290,387850,-71.06712341308594,42.35600690670569,-71.06678009033203,42.35575319999323
id176,176,20,317290,387851,-71.06712341308594,42.35575319999323,-71.06678009033203,42.35549949225654
id177,177,20,317290,387852,-71.06712341308594,42.35549949225654,-71.06678009033203,42.35524578349561
id178,178,20,317290,387853,-71.06712341308594,42.35524578349561,-71.06678009033203,42.35499207371046
id179,179,20,317290,387854,-71.06712341308594,42.35499207371046,-71.06678009033203,42.35473836290107
id180,180,20,317290,387855,-71.06712341308594,42.35473836290107,-71.06678009033203,42.35448465106745
id181,181,20,317290,387856,-71.06712341308594,42.35448465106745,-71.06678009033203,42.3542309382096
id182,182,20,317290,387857,-71.06712341308594,42.3542309382096,-71.06678009033203,42.35397722432751
id183,183,20,317290,387858,-71.06712341308594,42.35397722432751,-71.06678009033203,42.353723509421194
id184,184,20,317290,387859,-71.06712341308594,42.353723509421194,-71.06678009033203,42.353469793490646
id185,185,20,317290,387860,-71.06712341308594,42.353469793490646,-71.06678009033203,42.35321607653588
id186,186,20,317290,387861,-71.06712341308594,42.35321607653588,-71.06678009033203,42.35296235855688
id187,187,20,317290,387862,-71.06712341308594,42.35296235855688,-71.06678009033203,42.352708639553654
id188,188,20,317290,387863,-71.06712341308594,42.352708639553654,-71.06678009033203,42.3524549195262
id189,189,20,317290,387864,-71.06712341308594,42.3524549195262,-71.06678009033203,42.352201198474525
id190,190,20,317290,387865,-71.06712341308594,42.352201198474525,-71.06678009033203,42.35194747639863
id191,191,20,317290,387866,-71.06712341308594,42.35194747639863,-71.06678009033203,42.351693753298505
id192,192,20,317291,387843,-71.06678009033203,42.357782825014176,-71.06643676757812,42.3575291254714
id193,193,20,317291,387844,-71.06678009033203,42.3575291254714,-71.06643676757812,42.35727542490438
id194,194,20,317291,387845,-71.06678009033203,42.35727542490438,-71.06643676757812,42.35702172331312
id195,195,20,317291,387846,-71.06678009033203,42.35702172331312,-71.06643676757812,42.356768020697615
id196,196,20,317291,387847,-71.06678009033203,42.356768020697615,-71.06643676757812,42.35651431705787
id197,197,20,317291,387848,-71.06678009033203,42.35651431705787,-71.06643676757812,42.356260612393896
id198,198,20,317291,387849,-71.06678009033203,42.356260612393896,-71.06643676757812,42.35600690670569
id199,199,20,317291,387850,-71.06678009033203,42.35600690670569,-71.06643676757812,42.35575319999323
id200,200,20,317291,387851,-71.06678009033203,42.35575319999323,-71.06643676757812,42.35549949225654
id201,201,20,317291,387852,-71.06678009033203,42.35549949225654,-71.06643676757812,42.35524578349561
id202,202,20,317291,387853,-71.06678009033203,42.35524578349561,-71.06643676757812,42.35499207371046
id203,203,20,317291,387854,-71.06678009033203,42.35499207371046,-71.06643676757812,42.35473836290107
id204,204,20,317291,387855,-71.06678009033203,42.35473836290107,-71.06643676757812,42.35448465106745
id205,205,20,317291,387856,-71.06678009033203,42.35448465106745,-71.06643676757812,42.3542309382096
id206,206,20,317291,387857,-71.06678009033203,42.3542309382096,-71.06643676757812,42.35397722432751
id207,207,20,317291,387858,-71.06678009033203,42.35397722432751,-71.06643676757812,42.353723509421194
id208,208,20,317291,387859,-71.06678009033203,42.353723509421194,-71.06643676757812,42.353469793490646
id209,209,20,317291,387860,-71.06678009033203,42.353469793490646,-71.06643676757812,42.35321607653588
id210,210,20,317291,387861,-71.06678009033203,42.35321607653588,-71.06643676757812,42.35296235855688
id211,211,20,317291,387862,-71.06678009033203,42.35296235855688,-71.06643676757812,42.352708639553654
id212,212,20,317291,387863,-71.06678009033203,42.352708639553654,-71.06643676757812,42.3524549195262
id213,213,20,317291,387864,-71.06678009033203,42.3524549195262,-71.06643676757812,42.352201198474525
id214,214,20,317291,387865,-71.06678009033203,42.352201198474525,-71.06643676757812,42.35194747639863
id215,215,20,317291,387866,-71.06678009033203,42.35194747639863,-71.06643676757812,42.351693753298505
id216,216,20,317292,387843,-71.06643676757812,42.357782825014176,-71.06609344482422,42.3575291254714
id217,217,20,317292,387844,-71.06643676757812,42.3575291254714,-71.06609344482422,42.35727542490438
id218,218,20,317292,387845,-71.06643676757812,42.35727542490438,-71.06609344482422,42.35702172331312
id219,219,20,317292,387846,-71.06643676757812,42.35702172331312,-71.06609344482422,42.356768020697615
id220,220,20,317292,387847,-71.06643676757812,42.356768020697615,-71.06609344482422,42.35651431705787
id221,221,20,317292,387848,-71.06643676757812,42.35651431705787,-71.06609344482422,42.356260612393896
id222,222,20,317292,387849,-71.06643676757812,42.356260612393896,-71.06609344482422,42.35600690670569
id223,223,20,317292,387850,-71.06643676757812,42.35600690670569,-71.06609344482422,42.35575319999323
id224,224,20,317292,387851,-71.06643676757812,42.35575319999323,-71.06609344482422,42.35549949225654
id225,225,20,317292,387852,-71.06643676757812,42.35549949225654,-71.06609344482422,42.35524578349561
id226,226,20,317292,387853,-71.06643676757812,42.35524578349561,-71.06609344482422,42.35499207371046
id227,227,20,317292,387854,-71.06643676757812,42.35499207371046,-71.06609344482422,42.35473836290107
id228,228,20,317292,387855,-71.06643676757812,42.35473836290107,-71.06609344482422,42.35448465106745
id229,229,20,317292,387856,-71.06643676757812,42.35448465106745,-71.06609344482422,42.3542309382096
id230,230,20,317292,387857,-71.06643676757812,42.3542309382096,-71.06609344482422,42.35397722432751
id231,231,20,317292,387858,-71.06643676757812,42.35397722432751,-71.06609344482422,42.353723509421194
id232,232,20,317292,387859,-71.06643676757812,42.353723509421194,-71.06609344482422,42.353469793490646
id233,233,20,317292,387860,-71.06643676757812,42.353469793490646,-71.06609344482422,42.35321607653588
id234,234,20,317292,387861,-71.06643676757812,42.35321607653588,-71.06609344482422,42.35296235855688
id235,235,20,317292,387862,-71.06643676757812,42.35296235855688,-71.06609344482422,42.352708639553654
id236,236,20,317292,387863,-71.06643676757812,42.352708639553654,-71.06609344482422,42.3524549195262
id237,237,20,317292,387864,-71.06643676757812,42.3524549195262,-71.06609344482422,42.352201198474525
id238,238,20,317292,387865,-71.06643676757812,42.352201198474525,-71.06609344482422,42.35194747639863
id239,239,20,317292,387866,-71.06643676757812,42.35194747639863,-71.06609344482422,42.351693753298505
id240,240,20,317293,387843,-71.06609344482422,42.357782825014176,-71.06575012207031,42.3575291254714
id241,241,20,317293,387844,-71.06609344482422,42.3575291254714,-71.06575012207031,42.35727542490438
id242,242,20,317293,387845,-71.06609344482422,42.35727542490438,-71.06575012207031,42.35702172331312
id243,243,20,317293,387846,-71.06609344482422,42.35702172331312,-71.06575012207031,42.356768020697615
id244,244,20,317293,387847,-71.06609344482422,42.356768020697615,-71.06575012207031,42.35651431705787
