,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id87,87,20,317144,387778,-71.11724853515625,42.374271098256514,-71.11690521240234,42.37401746529124
id88,88,20,317144,387779,-71.11724853515625,42.37401746529124,-71.11690521240234,42.37376383130166
id89,89,20,317144,387780,-71.11724853515625,42.37376383130166,-71.11690521240234,42.37351019628779
id90,90,20,317144,387781,-71.11724853515625,42.37351019628779,-71.11690521240234,42.37325656024962
id91,91,20,317144,387782,-71.11724853515625,42.37325656024962,-71.11690521240234,42.373002923187165
id92,92,20,317144,387783,-71.11724853515625,42.373002923187165,-71.11690521240234,42.37274928510041
id93,93,20,317144,387784,-71.11724853515625,42.37274928510041,-71.11690521240234,42.37249564598936
id94,94,20,317144,387785,-71.11724853515625,42.37249564598936,-71.11690521240234,42.37224200585402
id95,95,20,317144,387786,-71.11724853515625,42.37224200585402,-71.11690521240234,42.3719883646944
id96,96,20,317145,387771,-71.11690521240234,42.376046500333125,-71.11656188964844,42.375792874537936
id97,97,20,317145,387772,-71.11690521240234,42.375792874537936,-71.11656188964844,42.37553924771845
id98,98,20,317145,387773,-71.11690521240234,42.37553924771845,-71.11656188964844,42.37528561987466
id99,99,20,317145,387774,-71.11690521240234,42.37528561987466,-71.11656188964844,42.37503199100657
id100,100,20,317145,387775,-71.11690521240234,42.37503199100657,-71.11656188964844,42.37477836111418
id101,101,20,317145,387776,-71.11690521240234,42.37477836111418,-71.11656188964844,42.3745247301975
id102,102,20,317145,387777,-71.11690521240234,42.3745247301975,-71.11656188964844,42.374271098256514
id103,103,20,317145,387778,-71.11690521240234,42.374271098256514,-71.11656188964844,42.37401746529124
id104,104,20,317145,387779,-71.11690521240234,42.37401746529124,-71.11656188964844,42.37376383130166
id105,105,20,317145,387780,-71.11690521240234,42.37376383130166,-71.11656188964844,42.37351019628779
id106,106,20,317145,387781,-71.11690521240234,42.37351019628779,-71.11656188964844,42.37325656024962
id107,107,20,317145,387782,-71.11690521240234,42.37325656024962,-71.11656188964844,42.373002923187165
id108,108,20,317145,387783,-71.11690521240234,42.373002923187165,-71.11656188964844,42.37274928510041
id109,109,20,317145,387784,-71.11690521240234,42.37274928510041,-71.11656188964844,42.37249564598936
